,Fredericton,Halifax,Winnipeg,Moncton,Ottawa,Saint John,Saskatoon,Calgary,Brandon,Victoria,Edmonton,Kitchener,Waterloo,Mississauga,Guelph,Regina,Hamilton
,New Brunswick,Nova Scotia,Manitoba,New Brunswick,Ontario,New Brunswick,Saskatchewan,Alberta,Manitoba,British Columbia,Alberta,Ontario,Ontario,Ontario,Ontario,Saskatchewan,Ontario
Restaurants,,[ Edit ],[ Edit ],[ Edit ],[ Edit ],[ Edit ],[ Edit ],[ Edit ],[ Edit ],[ Edit ],[ Edit ],[ Edit ],[ Edit ],[ Edit ],[ Edit ],[ Edit ],[ Edit ]
"Meal, Inexpensive Restaurant",$15.00,$15.00,$15.00,$15.00,$15.00,$15.00,$16.50,$18.00,$15.00,$15.00,$16.00,$15.00,$15.50,$15.00,$15.00,$15.00,$15.00
"Meal for 2 People, Mid-range Restaurant, Three-course",$60.00,$60.00,$60.00,$60.00,$60.00,$60.00,$65.00,$70.00,$55.00,$62.50,$60.00,$60.00,$70.00,$60.00,$69.25,$55.00,$60.00
McMeal at McDonalds (or Equivalent Combo Meal),$10.00,$9.00,$9.60,$10.00,$10.00,$10.00,$9.80,$9.19,$9.60,$9.00,$9.10,$10.00,$8.50,$10.00,$9.45,$9.50,$9.50
Domestic Beer (0.5 liter draught),$5.88,$6.00,$5.00,$6.00,$7.00,$5.88,$6.25,$6.99,$5.00,$6.50,$6.00,$6.25,$6.00,$5.50,$6.00,$6.50,$5.75
Imported Beer (0.33 liter bottle),$6.50,$7.00,$6.50,$6.50,$7.00,$6.50,$7.25,$7.12,$6.50,$6.25,$7.00,$6.00,$6.50,$7.00,$6.50,$6.50,$7.00
Cappuccino (regular),$3.88,$3.88,$3.84,$3.94,$3.89,$3.88,$4.36,$4.29,$3.84,$3.94,$4.33,$4.07,$3.50,$3.82,$3.78,$4.41,$3.78
Coke/Pepsi (0.33 liter bottle),$2.13,$1.97,$2.00,$2.00,$2.00,$2.13,$2.34,$2.28,$2.00,$2.01,$2.40,$1.87,$2.00,"$43,436,00",$2.00,"$43,102,00",$1.82
Water (0.33 liter bottle),$1.75,$1.70,$1.66,$1.73,$1.61,$1.75,$2.00,$1.94,$1.50,$1.68,$1.85,$1.45,$1.70,$1.56,$1.52,$1.70,$1.52
